timestamp,symbol,trendscore,supertrend,sma8,sma21
2026-01-26 23:11:44,PENGUUSDT,90,buy,0.00975,0.00973
2026-01-26 23:11:45,PEOPLEUSDT,90,buy,0.009269,0.00926
2026-01-26 23:11:45,PHAUSDT,25,sell,0.039162,0.039095
2026-01-26 23:11:45,PHBUSDT,25,sell,0.241712,0.241529
2026-01-26 23:11:46,PIEVERSEUSDT,35,buy,0.589475,0.592829
2026-01-26 23:11:46,PIPPINUSDT,100,buy,0.308599,0.307594
2026-01-26 23:11:47,PIXELUSDT,50,sell,0.008069,0.008066
2026-01-26 23:11:47,PLAYSOUTUSDT,100,buy,0.076035,0.075973
2026-01-26 23:11:47,PLUMEUSDT,100,buy,0.015298,0.01524
2026-01-26 23:11:48,PNUTUSDT,50,sell,0.073237,0.073075
2026-01-26 23:11:48,POLUSDT,90,buy,0.119666,0.119529
2026-01-26 23:11:49,POLYXUSDT,85,buy,0.054828,0.054854
2026-01-26 23:11:49,PONKEUSDT,55,sell,0.038817,0.03873
2026-01-26 23:11:49,POPCATUSDT,50,sell,0.074207,0.074069
2026-01-26 23:11:50,PORTALUSDT,50,sell,0.019113,0.019081
2026-01-26 23:11:50,POWERUSDT,35,buy,0.206104,0.206653
2026-01-26 23:11:50,POWRUSDT,25,sell,0.085951,0.08588
2026-01-26 23:11:51,PROMPTUSDT,15,sell,0.06581,0.066341
2026-01-26 23:11:51,PROMUSDT,90,buy,2.1405,2.124905
2026-01-26 23:11:51,PROVEUSDT,30,sell,0.372825,0.37289
2026-01-26 23:11:52,PTBUSDT,35,buy,0.0021,0.002106
2026-01-26 23:11:52,PUFFERUSDT,75,buy,0.047899,0.047853
2026-01-26 23:11:53,PUMPBTCUSDT,25,sell,0.024419,0.02438
2026-01-26 23:11:53,PUMPFUNUSDT,90,buy,0.002766,0.002751
2026-01-26 23:11:53,PUNDIXUSDT,5,sell,0.221798,0.221807
2026-01-26 23:11:54,PYRUSDT,60,sell,0.43755,0.436048
2026-01-26 23:11:54,PYTHUSDT,50,sell,0.058786,0.058729
2026-01-26 23:11:54,QNTUSDT,5,sell,74.68,74.694286
2026-01-26 23:11:55,QTUMUSDT,5,sell,1.275,1.276757
2026-01-26 23:11:55,QUSDT,100,buy,0.01819,0.018176
2026-01-26 23:11:56,RAREUSDT,5,sell,0.025865,0.025883
2026-01-26 23:11:57,RAVEUSDT,55,sell,0.320645,0.320335
2026-01-26 23:11:57,RAYDIUMUSDT,60,sell,0.985262,0.983571
2026-01-26 23:11:57,RDNTUSDT,50,sell,0.008546,0.008541
